case,hour,category,count,denominator,fraction
SZ_Air,30,remove_rule,0,3,0.0
SZ_Air,30,move_rule,0,3,0.0
SZ_Air,30,explicit_no_change,3,3,1.0
SZ_Air,30,deterministic_rejection,0,3,0.0
SZ_Air,30,schema_fallback,0,3,0.0
SZ_Air,31,set_param,0,3,0.0
SZ_Air,31,add_rule,0,3,0.0
SZ_Air,31,replace_rule,0,3,0.0
SZ_Air,31,remove_rule,0,3,0.0
SZ_Air,31,move_rule,0,3,0.0
SZ_Air,31,explicit_no_change,3,3,1.0
SZ_Air,31,deterministic_rejection,0,3,0.0
SZ_Air,31,schema_fallback,0,3,0.0
SZ_Air,32,set_param,3,3,1.0
SZ_Air,32,add_rule,0,3,0.0
SZ_Air,32,replace_rule,0,3,0.0
SZ_Air,32,remove_rule,0,3,0.0
SZ_Air,32,move_rule,0,3,0.0
SZ_Air,32,explicit_no_change,0,3,0.0
SZ_Air,32,deterministic_rejection,0,3,0.0
SZ_Air,32,schema_fallback,0,3,0.0
SZ_Air,33,set_param,0,3,0.0
SZ_Air,33,add_rule,0,3,0.0
SZ_Air,33,replace_rule,0,3,0.0
SZ_Air,33,remove_rule,0,3,0.0
SZ_Air,33,move_rule,0,3,0.0
SZ_Air,33,explicit_no_change,0,3,0.0
SZ_Air,33,deterministic_rejection,3,3,1.0
SZ_Air,33,schema_fallback,0,3,0.0
SZ_Air,34,set_param,2,3,0.6666666666666666
SZ_Air,34,add_rule,0,3,0.0
SZ_Air,34,replace_rule,0,3,0.0
SZ_Air,34,remove_rule,0,3,0.0
SZ_Air,34,move_rule,0,3,0.0
SZ_Air,34,explicit_no_change,0,3,0.0
SZ_Air,34,deterministic_rejection,1,3,0.3333333333333333
SZ_Air,34,schema_fallback,0,3,0.0
SZ_Air,35,set_param,2,3,0.6666666666666666
SZ_Air,35,add_rule,0,3,0.0
SZ_Air,35,replace_rule,0,3,0.0
SZ_Air,35,remove_rule,0,3,0.0
SZ_Air,35,move_rule,0,3,0.0
SZ_Air,35,explicit_no_change,0,3,0.0
SZ_Air,35,deterministic_rejection,1,3,0.3333333333333333
SZ_Air,35,schema_fallback,0,3,0.0
SZ_Air,36,set_param,2,3,0.6666666666666666
SZ_Air,36,add_rule,0,3,0.0
SZ_Air,36,replace_rule,0,3,0.0
SZ_Air,36,remove_rule,0,3,0.0
SZ_Air,36,move_rule,0,3,0.0
SZ_Air,36,explicit_no_change,0,3,0.0
SZ_Air,36,deterministic_rejection,1,3,0.3333333333333333
SZ_Air,36,schema_fallback,0,3,0.0
SZ_Air,37,set_param,1,3,0.3333333333333333
SZ_Air,37,add_rule,0,3,0.0
SZ_Air,37,replace_rule,0,3,0.0
SZ_Air,37,remove_rule,0,3,0.0
SZ_Air,37,move_rule,0,3,0.0
SZ_Air,37,explicit_no_change,1,3,0.3333333333333333
SZ_Air,37,deterministic_rejection,1,3,0.3333333333333333
SZ_Air,37,schema_fallback,0,3,0.0
SZ_Air,38,set_param,1,3,0.3333333333333333
SZ_Air,38,add_rule,0,3,0.0
SZ_Air,38,replace_rule,0,3,0.0
SZ_Air,38,remove_rule,0,3,0.0
SZ_Air,38,move_rule,0,3,0.0
SZ_Air,38,explicit_no_change,0,3,0.0
SZ_Air,38,deterministic_rejection,1,3,0.3333333333333333
SZ_Air,38,schema_fallback,1,3,0.3333333333333333
SZ_Air,39,set_param,2,3,0.6666666666666666
SZ_Air,39,add_rule,0,3,0.0
SZ_Air,39,replace_rule,0,3,0.0
SZ_Air,39,remove_rule,0,3,0.0
SZ_Air,39,move_rule,0,3,0.0
SZ_Air,39,explicit_no_change,0,3,0.0
SZ_Air,39,deterministic_rejection,1,3,0.3333333333333333
SZ_Air,39,schema_fallback,0,3,0.0
SZ_Air,40,set_param,0,3,0.0
SZ_Air,40,add_rule,0,3,0.0
SZ_Air,40,replace_rule,0,3,0.0
SZ_Air,40,remove_rule,0,3,0.0
SZ_Air,40,move_rule,0,3,0.0
SZ_Air,40,explicit_no_change,0,3,0.0
SZ_Air,40,deterministic_rejection,2,3,0.6666666666666666
SZ_Air,40,schema_fallback,1,3,0.3333333333333333
SZ_Air,41,set_param,0,3,0.0
SZ_Air,41,add_rule,0,3,0.0
SZ_Air,41,replace_rule,0,3,0.0
SZ_Air,41,remove_rule,0,3,0.0
SZ_Air,41,move_rule,0,3,0.0
SZ_Air,41,explicit_no_change,0,3,0.0
SZ_Air,41,deterministic_rejection,3,3,1.0
SZ_Air,41,schema_fallback,0,3,0.0
SZ_Air,42,set_param,1,3,0.3333333333333333
SZ_Air,42,add_rule,0,3,0.0
SZ_Air,42,replace_rule,0,3,0.0
SZ_Air,42,remove_rule,0,3,0.0
SZ_Air,42,move_rule,0,3,0.0
SZ_Air,42,explicit_no_change,1,3,0.3333333333333333
SZ_Air,42,deterministic_rejection,1,3,0.3333333333333333
SZ_Air,42,schema_fallback,0,3,0.0
SZ_Air,43,set_param,2,3,0.6666666666666666
SZ_Air,43,add_rule,0,3,0.0
SZ_Air,43,replace_rule,1,3,0.3333333333333333
SZ_Air,43,remove_rule,0,3,0.0
SZ_Air,43,move_rule,0,3,0.0
SZ_Air,43,explicit_no_change,0,3,0.0
SZ_Air,43,deterministic_rejection,0,3,0.0
SZ_Air,43,schema_fallback,0,3,0.0
SZ_Air,44,set_param,0,3,0.0
SZ_Air,44,add_rule,0,3,0.0
SZ_Air,44,replace_rule,0,3,0.0
SZ_Air,44,remove_rule,0,3,0.0
SZ_Air,44,move_rule,0,3,0.0
SZ_Air,44,explicit_no_change,2,3,0.6666666666666666
SZ_Air,44,deterministic_rejection,1,3,0.3333333333333333
SZ_Air,44,schema_fallback,0,3,0.0
SZ_Air,45,set_param,0,3,0.0
SZ_Air,45,add_rule,0,3,0.0
SZ_Air,45,replace_rule,0,3,0.0
SZ_Air,45,remove_rule,0,3,0.0
SZ_Air,45,move_rule,0,3,0.0
SZ_Air,45,explicit_no_change,3,3,1.0
SZ_Air,45,deterministic_rejection,0,3,0.0
SZ_Air,45,schema_fallback,0,3,0.0
SZ_Air,46,set_param,0,3,0.0
SZ_Air,46,add_rule,0,3,0.0
SZ_Air,46,replace_rule,0,3,0.0
SZ_Air,46,remove_rule,0,3,0.0
SZ_Air,46,move_rule,0,3,0.0
SZ_Air,46,explicit_no_change,3,3,1.0
SZ_Air,46,deterministic_rejection,0,3,0.0
SZ_Air,46,schema_fallback,0,3,0.0
SZ_Air,47,set_param,0,3,0.0
SZ_Air,47,add_rule,0,3,0.0
SZ_Air,47,replace_rule,0,3,0.0
SZ_Air,47,remove_rule,0,3,0.0
SZ_Air,47,move_rule,0,3,0.0
SZ_Air,47,explicit_no_change,3,3,1.0
SZ_Air,47,deterministic_rejection,0,3,0.0
SZ_Air,47,schema_fallback,0,3,0.0
SZ_Air,48,set_param,0,3,0.0
SZ_Air,48,add_rule,0,3,0.0
SZ_Air,48,replace_rule,0,3,0.0
SZ_Air,48,remove_rule,0,3,0.0
SZ_Air,48,move_rule,0,3,0.0
SZ_Air,48,explicit_no_change,3,3,1.0
SZ_Air,48,deterministic_rejection,0,3,0.0
SZ_Air,48,schema_fallback,0,3,0.0
SZ_Air,49,set_param,0,3,0.0
SZ_Air,49,add_rule,0,3,0.0
