case,repeat,hour,zone,category,operation,status,program_version_before,program_version_after,program_hash_before,program_hash_after,transition_ok
MZ_Air,R02,84,nor,deterministic_rejection,set_param,rejected,24,24,7c23f975c82e8084471f5cac1876a7f0ac4a69528ea8e2f559e09d9a8df792c1,7c23f975c82e8084471f5cac1876a7f0ac4a69528ea8e2f559e09d9a8df792c1,True
MZ_Air,R02,84,sou,deterministic_rejection,add_rule,rejected,17,17,9d358e3c4b76fccde8a921676d08ae0d80a789645341f1edc112b5d620948e4d,9d358e3c4b76fccde8a921676d08ae0d80a789645341f1edc112b5d620948e4d,True
MZ_Air,R02,85,wes,deterministic_rejection,set_param,rejected,21,21,0125b2cdff977006de56611eb876bf92700eddaedb99f74d807a34f3a54387a5,0125b2cdff977006de56611eb876bf92700eddaedb99f74d807a34f3a54387a5,True
MZ_Air,R02,85,eas,replace_rule,replace_rule,accepted,33,34,e5adf29fae493c68aad8b537ad196ef42ab3696c1f21f54e698804d047a56011,3d4c6c0465dd484396a61f04ee0ab24d9d6d76a23403b3a2c70ad02d3d5162aa,True
MZ_Air,R02,85,cor,replace_rule,replace_rule,accepted,21,22,bf2daa59dc6f9fbef9f3da646e24e7932eb6d434b05fe9dceedafa85477292b0,0587cb53de988d3c33731b4c4490f3c5d38d1e8c67ae1203a8f0b2b6f7738b76,True
MZ_Air,R02,85,nor,replace_rule,replace_rule,accepted,24,25,7c23f975c82e8084471f5cac1876a7f0ac4a69528ea8e2f559e09d9a8df792c1,350764d3e9922dc1f24c931cf4f9b5ebb89848a245fb1b4e0363ac10dcaff2db,True
MZ_Air,R02,85,sou,schema_fallback,no_change,model_output_rejected,17,17,9d358e3c4b76fccde8a921676d08ae0d80a789645341f1edc112b5d620948e4d,9d358e3c4b76fccde8a921676d08ae0d80a789645341f1edc112b5d620948e4d,True
MZ_Air,R02,86,wes,set_param,set_param,accepted,21,22,0125b2cdff977006de56611eb876bf92700eddaedb99f74d807a34f3a54387a5,ee290b970937c63da5a6a7b345c2fe23a01b5f49adee8b0849610430e5c7f0f7,True
MZ_Air,R02,86,eas,set_param,set_param,accepted,34,35,3d4c6c0465dd484396a61f04ee0ab24d9d6d76a23403b3a2c70ad02d3d5162aa,e2a94941264005431d2e78a4c0508c650ba4bcecc64e8d2443f235046ebcd8ea,True
MZ_Air,R02,86,nor,add_rule,add_rule,accepted,25,26,350764d3e9922dc1f24c931cf4f9b5ebb89848a245fb1b4e0363ac10dcaff2db,92dccdd4ffb17069bd6450acf25098b3cce60b874a7660b4fbab67fa923e92a9,True
MZ_Air,R02,86,sou,deterministic_rejection,add_rule,rejected,17,17,9d358e3c4b76fccde8a921676d08ae0d80a789645341f1edc112b5d620948e4d,9d358e3c4b76fccde8a921676d08ae0d80a789645341f1edc112b5d620948e4d,True
MZ_Air,R02,86,cor,deterministic_rejection,replace_rule,rejected,22,22,0587cb53de988d3c33731b4c4490f3c5d38d1e8c67ae1203a8f0b2b6f7738b76,0587cb53de988d3c33731b4c4490f3c5d38d1e8c67ae1203a8f0b2b6f7738b76,True
MZ_Air,R02,87,nor,replace_rule,replace_rule,accepted,26,27,92dccdd4ffb17069bd6450acf25098b3cce60b874a7660b4fbab67fa923e92a9,9d47cf14c07746a4c99845d86f0c36d64e64c2317784b7dbdd7ccbf05def4a4e,True
